香港频道,#genre# 
Starplus HD,http://192.168.31.4:8083/stv.php?id=Starplushd
Picture HD,http://192.168.31.4:8083/stv.php?id=Npicture
Zee News,http://192.168.31.4:8083/stv.php?id=Zeenews
Asianet,http://192.168.31.4:8083/stv.php?id=asianet_raj
Asianet News,http://192.168.31.4:8083/stv.php?id=asianetnews_raj
Discovery World Tamil,http://192.168.31.4:8083/stv.php?id=discoveryworldtam_raj
History Tamil,http://192.168.31.4:8083/stv.php?id=historytam_raj
NatGeo Tamil,http://192.168.31.4:8083/stv.php?id=natgeotamil_raj
Natgeo Wild Tamil,http://192.168.31.4:8083/stv.php?id=natgeowildtamil_raj
Discovery Kids Tamil,http://192.168.31.4:8083/stv.php?id=discoverykidtamil_raj
Discovery Tamil,http://192.168.31.4:8083/stv.php?id=discoverytamil_raj
Sony Yay Tamil,http://192.168.31.4:8083/stv.php?id=sonyyaytam_raj
Sun TV India,http://192.168.31.4:8083/stv.php?id=suntv_raj
Starmaa HD,http://192.168.31.4:8083/stv.php?id=starmaa_raj
Starmaa Movies HD,http://192.168.31.4:8083/stv.php?id=starmaamovies_raj
Bollyone,http://192.168.31.4:8083/stv.php?id=Bollyone
Vijay Super,http://192.168.31.4:8083/stv.php?id=vijaysuper_raj
Vellithirai,http://192.168.31.4:8083/stv.php?id=Vellithirai

泰国频道,#genre# 
Channel 3 Thailand,http://192.168.31.4:8083/stv.php?id=ch3_pat
Channel 5 Thailand,http://192.168.31.4:8083/stv.php?id=ch5_pat
Channel 7 Thailand,http://192.168.31.4:8083/stv.php?id=ch7_pat
MCOT HD Thailand-1,http://192.168.31.4:8083/stv.php?id=mcot_pat
PPTV Thailand1,http://192.168.31.4:8083/stv.php?id=pptv_pat
Thai Thai,http://192.168.31.4:8083/stv.php?id=thaithai_pat
Amarin,http://192.168.31.4:8083/stv.php?id=amarin_pat
Ch 8,http://192.168.31.4:8083/stv.php?id=ch8_pat
GmmOne,http://192.168.31.4:8083/stv.php?id=gmmone_pat
Mono,http://192.168.31.4:8083/stv.php?id=mono_pat
Thairath,http://192.168.31.4:8083/stv.php?id=thairath_pat
tpbs,http://192.168.31.4:8083/stv.php?id=tpbs_pat
Workpoint,http://192.168.31.4:8083/stv.php?id=workpoint_pat
Gmm Channel,http://192.168.31.4:8083/stv.php?id=gmmchannel_pat
Nation,http://192.168.31.4:8083/stv.php?id=nation_pat
Tnn24,http://192.168.31.4:8083/stv.php?id=tnn24_pat
Nbt,http://192.168.31.4:8083/stv.php?id=nbt_pat
New,http://192.168.31.4:8083/stv.php?id=new_pat
TPTV,http://192.168.31.4:8083/stv.php?id=tptv_pat

英国频道,#genre# 
BBC 1,http://192.168.31.4:8083/stv.php?id=bbc1_antik
BBC 2,http://192.168.31.4:8083/stv.php?id=bbc2_antik
CBBC,http://192.168.31.4:8083/stv.php?id=cbbc_antik
More4,http://192.168.31.4:8083/stv.php?id=more4_antik
Freesports,http://192.168.31.4:8083/stv.php?id=freesports_antik
Pick TV,http://192.168.31.4:8083/stv.php?id=picktv_antik
itv 1,http://192.168.31.4:8083/stv.php?id=itv1_antik
itv 2,http://192.168.31.4:8083/stv.php?id=itv2_antik
Euronews,http://192.168.31.4:8083/stv.php?id=euronews_antik
Channel 4,http://192.168.31.4:8083/stv.php?id=channel4_antik
BBC World News,http://192.168.31.4:8083/stv.php?id=bbcworldnews_antik

越南频道,#genre# 
ANTV,http://192.168.31.4:8083/stv.php?id=viet_antv
VTV 1,http://192.168.31.4:8083/stv.php?id=viet_vtv1
VTV 7,http://192.168.31.4:8083/stv.php?id=viet_vtv7
HTV 7,http://192.168.31.4:8083/stv.php?id=viet_htv7
HTV 9,http://192.168.31.4:8083/stv.php?id=viet_htv9
BPTV 2,http://192.168.31.4:8083/stv.php?id=viet_bptv2
BRT HD,http://192.168.31.4:8083/stv.php?id=viet_brt
Ca Mau TV,http://192.168.31.4:8083/stv.php?id=viet_camautv
